#Chroococcidiopsis_sp._SAG_2025_(cyanobacteria)
WP_006196724.1	K02518
WP_008233924.1	K02110
WP_009632497.1	K02718
WP_012411495.1	K02691
WP_015152113.1	
WP_015152130.1	K13628
WP_015152134.1	K02710
WP_015152144.1	
WP_015152156.1	
WP_015152173.1	
WP_015152176.1	
WP_015152181.1	
WP_015152268.1	K03075
WP_015152276.1	K02871
WP_015152278.1	K02879
WP_015152280.1	K02948
WP_015152281.1	K02952
WP_015152282.1	K02919
WP_015152283.1	K00939
WP_015152284.1	K03076
WP_015152286.1	K02988
WP_015152287.1	K02881
WP_015152290.1	K02931
WP_015152292.1	K02874
WP_015152293.1	K02961
WP_015152294.1	K02904
WP_015152295.1	K02878
WP_015152297.1	K02890
WP_015152298.1	K02965
WP_015152300.1	K02892
WP_015152324.1	K02658,ko:K11523
WP_015152367.1	K02914
WP_015152368.1	
WP_015152396.1	K02095
WP_015152415.1	K02470
WP_015152484.1	K09710
WP_015152510.1	K09940
WP_015152523.1	K02500
WP_015152555.1	
WP_015152568.1	K01829
WP_015152623.1	
WP_015152638.1	
WP_015152650.1	K21561
WP_015152654.1	
WP_015152672.1	
WP_015152680.1	K04077
WP_015152683.1	
WP_015152735.1	
WP_015152854.1	K03841
WP_015152872.1	
WP_015153035.1	
WP_015153061.1	K08999
WP_015153070.1	K17892
WP_015153090.1	K08697
WP_015153091.1	K08696
WP_015153092.1	K08696
WP_015153097.1	K02696
WP_015153113.1	K02095
WP_015153123.1	
WP_015153231.1	
WP_015153239.1	
WP_015153324.1	
WP_015153329.1	
WP_015153461.1	K09775
WP_015153471.1	
WP_015153474.1	
WP_015153513.1	
WP_015153536.1	
WP_015153546.1	K02066
WP_015153567.1	
WP_015153568.1	K02954
WP_015153573.1	
WP_015153575.1	
WP_015153616.1	
WP_015153618.1	K09747
WP_015153636.1	
WP_015153643.1	
WP_015153705.1	K02990
WP_015153726.1	
WP_015153746.1	K02706
WP_015153778.1	K03561
WP_015153793.1	K03676
WP_015153804.1	K02078
WP_015153831.1	K02097
WP_015153841.1	K02112
WP_015153844.1	K19032
WP_015153886.1	K09777
WP_015153888.1	K02699
WP_015153889.1	K02697
WP_015153890.1	K02697
WP_015153914.1	K06217
WP_015153916.1	K02959
WP_015153918.1	
WP_015154003.1	K02696
WP_015154004.1	K02711
WP_015154005.1	K02713
WP_015154006.1	K02708
WP_015154009.1	
WP_015154010.1	K05574
WP_015154022.1	
WP_015154063.1	K09014
WP_015154090.1	
WP_015154093.1	
WP_015154110.1	
WP_015154123.1	K02956
WP_015154143.1	K02963
WP_015154144.1	K02913
WP_015154149.1	
WP_015154161.1	
WP_015154291.1	K05576
WP_015154299.1	
WP_015154302.1	
WP_015154334.1	
WP_015154363.1	
WP_015154368.1	K02520
WP_015154422.1	
WP_015154444.1	
WP_015154461.1	K05770
WP_015154474.1	
WP_015154529.1	K02970
WP_015154570.1	K03113
WP_015154571.1	
WP_015154612.1	
WP_015154625.1	K01902
WP_015154651.1	K02640
WP_015154741.1	
WP_015154758.1	
WP_015154770.1	K02867
WP_015154771.1	K02601
WP_015154772.1	K03073
WP_015154790.1	K03892
WP_015154818.1	
WP_015154839.1	
WP_015154861.1	K03892
WP_015154876.1	
WP_015154884.1	K04047
WP_015154889.1	K02639
WP_015154911.1	
WP_015154921.1	K14761
WP_015154976.1	
WP_015155086.1	
WP_015155180.1	
WP_015155199.1	
WP_015155257.1	
WP_015155342.1	K04047
WP_015155351.1	
WP_015155372.1	
WP_015155487.1	
WP_015155503.1	
WP_015155552.1	K02970
WP_015155553.1	
WP_015155559.1	
WP_015155576.1	
WP_015155669.1	
WP_015155914.1	
WP_015155929.1	K00012
WP_015155970.1	
WP_015156000.1	K03530
WP_015156053.1	
WP_015156069.1	
WP_015156070.1	K04757
WP_015156072.1	K02635
WP_015156080.1	K02724
WP_015156101.1	
WP_015156119.1	
WP_015156147.1	K02658,ko:K11523
WP_015156235.1	K02115
WP_015156237.1	K02113
WP_015156239.1	K02109
WP_015156256.1	K02092
WP_015156257.1	K02093
WP_015156258.1	K02094
WP_015156279.1	
WP_015156280.1	K03060
WP_015156292.1	K02093
WP_015156330.1	K00954
WP_015156344.1	K09793
WP_015156346.1	K11329
WP_015156354.1	
WP_015156424.1	K00640
WP_015156433.1	K05584
WP_015156445.1	
WP_015156462.1	
WP_015156495.1	
WP_015156569.1	K01790
WP_015156599.1	
WP_015156623.1	
WP_015156647.1	K00150
WP_015156653.1	K02097
WP_015156676.1	K02692
WP_015156680.1	K03689
WP_015156709.1	K02992
WP_015156710.1	K02950
WP_015156757.1	
WP_015156778.1	K05583
WP_015156797.1	K01624
WP_015156799.1	
WP_015156802.1	
WP_015156854.1	K02916
WP_015156855.1	K02887
WP_015156891.1	
WP_015156901.1	
WP_015156902.1	
WP_015156936.1	
WP_015156971.1	
WP_015157035.1	K02709
WP_015157038.1	K02970
WP_015157060.1	K07742
WP_015157074.1	
WP_015157109.1	
WP_015157118.1	
WP_015157119.1	
WP_015157125.1	K08972
WP_015157184.1	
WP_015157199.1	K00053
WP_015157258.1	K03100
WP_015157263.1	
WP_015157265.1	
WP_015157300.1	
WP_015157307.1	K11532
WP_015157308.1	K02492
WP_015157311.1	
WP_015157313.1	
WP_015157319.1	K02658
WP_015157326.1	K02986
WP_015157330.1	
WP_015157340.1	
WP_015157412.1	K02638
WP_015157477.1	
WP_015157479.1	
WP_015157485.1	K02714
WP_015157499.1	
WP_039710074.1	
WP_039710300.1	K02479
WP_039710306.1	
WP_039710310.1	
WP_039710313.1	
WP_039710314.1	
WP_039710317.1	
WP_039710319.1	K07506
WP_039710320.1	K19000
WP_039710321.1	
WP_039710322.1	
WP_039710323.1	
WP_039710324.1	
WP_039710327.1	
WP_039710328.1	K01951
WP_039710337.1	
WP_039710343.1	
WP_039711200.1	
WP_039712394.1	
WP_039712722.1	
WP_039713047.1	K03090
WP_039713124.1	
WP_039713144.1	
WP_039713213.1	K21703
WP_039713233.1	
WP_039713348.1	K04078
WP_039713404.1	K03116
WP_039713435.1	K03969
WP_039713444.1	K01602
WP_039713560.1	K03635
WP_039713673.1	K01338
WP_039713674.1	K02946
WP_039713788.1	K00973
WP_039713839.1	K02221
WP_039713858.1	
WP_039713951.1	K00218
WP_039714099.1	
WP_039714100.1	
WP_039714178.1	K01356
WP_039714205.1	
WP_039714230.1	
WP_039714341.1	
WP_039714396.1	
WP_039714632.1	K02108
WP_039714828.1	K02712
WP_039714876.1	K02909
WP_039714880.1	K03040
WP_039714946.1	
WP_039714978.1	K03499
WP_039715050.1	
WP_039715057.1	
WP_039715064.1	
WP_039715072.1	K03043
WP_039715073.1	K03046
WP_039715111.1	
WP_039715142.1	
WP_039715310.1	K00058
WP_039715367.1	
WP_039715435.1	
WP_039715449.1	
WP_039715768.1	
WP_039715816.1	
WP_039715823.1	K02114
WP_039715832.1	
WP_039715833.1	
WP_039715888.1	
WP_039715941.1	
WP_039715954.1	
WP_039716012.1	
WP_039716041.1	
WP_039716115.1	K01854
WP_039716164.1	
WP_039716236.1	K00940
WP_039716300.1	
WP_039716356.1	
WP_039716424.1	
WP_039716502.1	K02707
WP_039716527.1	K03496
WP_039716554.1	K07300
WP_039716581.1	K00088
WP_039716584.1	
WP_039716695.1	
WP_039716709.1	K05572
WP_039716711.1	K05578
WP_039716723.1	
