protein_id,GOs_eggnog,ko_eggnog,GO_process,GO_component,GO_function,gene,GOs_interpro
WP_009632395.1,-,ko:K04751,,,,None,GO:0006808(InterPro)|GO:0030234(InterPro)
WP_041548398.1,"GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0043021,GO:0043022,GO:0044424,GO:0044444,GO:0044464,GO:0044877",ko:K02518,['GO:0006413 - translational initiation [Evidence IEA]'],,['GO:0003743 - translation initiation factor activity [Evidence IEA]'],infA,GO:0003723(InterPro)|GO:0003743(InterPro)|GO:0006413(InterPro)
WP_073591590.1,-,ko:K08696,,,,None,GO:0031469(InterPro)
WP_190736661.1,-,-,,,,None,-
WP_250121152.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121152.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121152.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250121153.1,-,-,,,,None,-
WP_250121154.1,-,ko:K02851,,,,None,GO:0016020(InterPro)|GO:0016780(InterPro)
WP_250121155.1,-,ko:K02706,,"['GO:0009538 - photosystem I reaction center [Evidence IEA]', 'GO:0009539 - photosystem II reaction center [Evidence IEA]']",['GO:0009055 - electron transfer activity [Evidence IEA]'],psbD,GO:0009523(PANTHER)|GO:0009535(PANTHER)|GO:0009772(InterPro)|GO:0019684(InterPro)|GO:0045156(InterPro)
WP_250121155.1,-,ko:K02706,,"['GO:0009538 - photosystem I reaction center [Evidence IEA]', 'GO:0009539 - photosystem II reaction center [Evidence IEA]']",['GO:0009055 - electron transfer activity [Evidence IEA]'],psbD,GO:0009523(PANTHER)|GO:0009535(PANTHER)|GO:0009772(InterPro)|GO:0019684(InterPro)|GO:0045156(InterPro)
WP_250121156.1,-,-,['GO:0033212 - iron import into cell [Evidence IEA]'],"['GO:0016020 - membrane [Evidence IEA]', 'GO:0046930 - pore complex [Evidence IEA]']",['GO:0015093 - ferrous iron transmembrane transporter activity [Evidence IEA]'],None,-
WP_250121157.1,-,ko:K02010,,,,None,GO:0005524(InterPro)|GO:0016887(InterPro)
WP_250121158.1,-,ko:K02011,,,,None,-
WP_250121159.1,-,-,,,,None,-
WP_250121160.1,-,-,,,,None,-
WP_250121161.1,-,-,,,,None,-
WP_250121162.1,-,ko:K00384,,,['GO:0016491 - oxidoreductase activity [Evidence IEA]'],None,-
WP_250121163.1,-,-,,,,None,-
WP_250121164.1,-,ko:K03111,,,,None,-
WP_250121165.1,-,ko:K16881,,,,None,GO:0005975(InterPro)|GO:0016868(InterPro)
WP_250121167.1,-,ko:K05895,,,,None,GO:0009236(InterPro)|GO:0016994(InterPro)
WP_250121168.1,-,ko:K13953,,,,None,-
WP_250121169.1,-,ko:K00681,['GO:0006750 - glutathione biosynthetic process [Evidence IEA]'],,,ggt,GO:0006751(InterPro)|GO:0036374(InterPro)
WP_250121170.1,-,ko:K01626,['GO:0009423 - chorismate biosynthetic process [Evidence IEA]'],,['GO:0003849 - 3-deoxy-7-phosphoheptulonate synthase activity [Evidence IEA]'],None,GO:0003849(PANTHER)|GO:0003849(InterPro)|GO:0005737(PANTHER)|GO:0009073(PANTHER)|GO:0009073(InterPro)
WP_250121171.1,"GO:0003674,GO:0003824,GO:0003998,GO:0016787,GO:0016817,GO:0016818",ko:K01512,,,,None,-
WP_250121173.1,-,ko:K01681,,,,None,-
WP_250121174.1,-,-,,,,None,-
WP_250121175.1,-,-,,,,None,-
WP_250121177.1,-,-,,,,None,-
WP_250121179.1,-,"ko:K00799,ko:K11209",,,,None,-
WP_250121180.1,-,ko:K09131,,,,None,-
WP_250121181.1,-,-,,,,None,GO:0005515(InterPro)
WP_250121182.1,-,-,,,,None,-
