WP_009632395.1	K04751
WP_041548398.1	K02518
WP_073591590.1	K08696
WP_190736661.1	K00355
WP_250121154.1	K02851
WP_250121155.1	K02706
WP_250121157.1	K02010
WP_250121158.1	K02011
WP_250121162.1	K00384
WP_250121165.1	K16881
WP_250121167.1	K05895
WP_250121168.1	K13953
WP_250121169.1	K00681
WP_250121170.1	K01626
WP_250121171.1	K01512
WP_250121173.1	K01681
WP_250121179.1	K00799
WP_250121180.1	K09131
WP_250121187.1	K03394
WP_250121190.1	K01710
WP_250121191.1	K11206
WP_250121193.1	K11777
WP_250121194.1	K19032
WP_250121195.1	K02114
WP_250121196.1	K02112
WP_250121202.1	K02654
WP_250121205.1	K02720
WP_250121206.1	K02720
WP_250121207.1	K02638
WP_250121208.1	K08906
WP_250121209.1	K17910
WP_250121210.1	K00925
WP_250121215.1	K00147
WP_250121218.1	K07478
WP_250121219.1	K00611
WP_250121220.1	K01356
WP_250121223.1	K19171
WP_250121227.1	K01928
WP_250121230.1	K00390
WP_250121231.1	K03547
WP_250121233.1	K01595
WP_250121235.1	K02703
WP_250121237.1	K16137
WP_250121238.1	K00027
WP_250121241.1	K07098
WP_250121246.1	K02528
WP_250121247.1	K00919
WP_250121249.1	K06923
WP_250121250.1	K00954
WP_250121253.1	K16137
WP_250121256.1	K23541
WP_250121262.1	K02039
WP_250121263.1	K07636
WP_250121264.1	K07657
WP_250121270.1	K01000
WP_250121271.1	K03638
WP_250121272.1	K08903
WP_250121275.1	K07560
WP_250121278.1	K01883
WP_250121280.1	K07506
WP_250121281.1	K11781
WP_250121282.1	K00284
WP_250121284.1	K01809
WP_250121285.1	K13628
WP_250121286.1	K02950
WP_250121287.1	K02992
WP_250121288.1	K02355
WP_250121289.1	K02358
WP_250121290.1	K02946
WP_250121291.1	K01338
WP_250121292.1	K04518
WP_250121294.1	K03470
WP_250121295.1	K08300
WP_250121306.1	K07027
WP_250121309.1	K09121
WP_250121313.1	K03797
WP_250121314.1	K07462
WP_250121317.1	K06901
WP_250121322.1	K06218
WP_250121325.1	K01935
WP_250121327.1	K00948
WP_250121331.1	K16787
WP_250121332.1	K03501
WP_250121333.1	K07079
WP_250121334.1	K01807
WP_250121335.1	K07140
WP_250121338.1	K05800
WP_250121339.1	K00457
WP_250121340.1	K00451
WP_250121342.1	K17105
WP_250121343.1	K01895
WP_250121345.1	K00015
WP_250121347.1	K00681
